,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9
4-1C-rep2,7.941320090474793e-07,0.02906959555158528,1.1287728869891674e-06,4.348632709873476e-07,0.06027413941039682,2.2890592707654107e-07,1.2104647539039933e-07,7.997843807115251e-07,0.9106527575330677
4-2A-rep1,2.492446280145516e-06,2.204313023537052e-06,0.8543639619346072,1.3648528579579314e-06,0.14562455982976513,7.184394029520532e-07,3.7991396124858695e-07,2.5101866968111896e-06,1.8080834049902646e-06
4-2A-rep2,4.587107021885235e-06,4.0568255489580914e-06,0.9565642955606087,2.511880066764544e-06,0.043414579853611315,1.3222184391023246e-06,6.991950090310008e-07,4.619756547977942e-06,3.3276031460548825e-06
4-2B-rep1,0.014017042182731159,1.8815770634857984e-06,0.7006990586835783,1.1650232091111708e-06,0.2852762289639129,6.132518783243909e-07,3.242903289825607e-07,2.1426674267016707e-06,1.5433598710223294e-06
4-2B-rep2,0.010220666005323125,5.2260910553821915e-06,0.7327101434027982,3.235858626576259e-06,0.25704788665145234,1.7033105994978649e-06,9.007182435052574e-07,5.951271032502622e-06,4.2866908689049745e-06
4-2C-rep1,2.1024472817353596e-06,0.00010008436990031163,0.22140207298869072,1.1512910846025773e-06,0.08015958865547775,6.060234805702344e-07,3.204679200041861e-07,0.23289352360330803,0.46544055015285635
4-2C-rep2,1.797072234888893e-06,1.5893260220521788e-06,0.27185871118370347,9.840690229848224e-07,0.015790961439243408,5.180001325524702e-07,2.739207808990895e-07,0.23915630731768497,0.4731888576711748
4-3A-rep1,0.05738004508829134,1.491995119632561e-06,0.048041009513092446,0.7147082740425084,0.17986551310502097,4.862776164322638e-07,2.571457728601665e-07,1.6990265270942912e-06,1.223806050832759e-06
4-3B-rep1,0.10609388296150675,3.2132618635538e-06,0.019186281455390128,0.5778967976421399,0.29681192878163554,1.0472804497956052e-06,5.538065737836535e-07,3.6591387417023547e-06,2.635671698775889e-06
4-3B-rep2,0.07702908232676237,1.5284360441726604e-06,0.05535072822051732,0.6429855736257726,0.2246293315892299,4.981546029537155e-07,2.634263763161018e-07,1.7405240471938998e-06,1.2536966472316912e-06
4-3C-rep1,2.297051252899057e-06,0.01722636860869319,3.2650102813598247e-06,0.8421693912638762,0.14059368607797737,6.621174321103988e-07,3.50130651814474e-07,2.313400911727595e-06,1.6663389232751698e-06
4-4B-rep1,3.9931576279404536e-07,0.7047501615187,0.23774041068504298,2.1866359344173518e-07,1.5217752640895083e-06,1.1510144892444726e-07,6.086615966031167e-08,4.021579616689291e-07,0.05750670991606654
4-4C-rep1,8.945450305959359e-05,0.38748174300355137,0.11718379497326882,0.043750966534659846,0.13700827345706834,1.0585102110539028e-06,5.597449216331527e-07,3.6983748932874676e-06,0.31448045089836596
4-4C-rep2,4.92257836359009e-06,0.3696966614648578,0.14558412346526042,0.009891821083085126,0.11673343860571628,1.4189169446476034e-06,7.503296101366378e-07,4.957615664869226e-06,0.35808190594049705
4-5A-rep1,4.0683426342573675e-06,3.5980316704683334e-06,0.16907333639451777,2.2278069203538008e-06,0.00609775466499272,1.172686318835968e-06,6.201217567694139e-07,0.8248142706728155,2.951278373143379e-06
4-5A-rep2,2.264208939808486e-07,2.0024605119021772e-07,0.14754557226602602,1.2398710724995402e-07,8.628803263917299e-07,6.52650743902789e-08,3.4512462485927046e-08,0.8524527501706302,1.6425142808932727e-07
4-5B-rep1,2.1489914408673016e-06,1.9005624547690896e-06,0.24648378741742497,1.1767784658627145e-06,0.18388984439038097,6.194396806159603e-07,3.2756246643820927e-07,0.5696186359250848,1.5589326007345026e-06
4-5B-rep2,1.1637756744814531e-06,1.0292401871085915e-06,0.24997160658207881,6.372785515943784e-07,0.13647525196179383,3.354544920004311e-07,1.7738983183668932e-07,0.6135489540851592,8.442322311710639e-07
4-5C-rep1,2.006654921710595e-06,1.774680406517385e-06,0.28017357415430894,1.098835600449594e-06,0.03305438626661472,5.784116493778117e-07,0.6867631043807646,2.020937634521277e-06,1.4556780992187087e-06
4-5C-rep2,1.5700359875298238e-05,5.700140688421127e-07,0.29377041405832127,3.529377736411625e-07,0.03619668918373479,1.8578149424353498e-07,0.6700149710017695,6.491100480397075e-07,4.6755291443619164e-07
4-6A-rep1,0.7656934825911992,0.00899498314237703,4.929198862338185e-06,1.898989216813166e-06,0.22529716965455104,9.996012912196941e-07,5.285936220313639e-07,3.492550454533492e-06,2.515678425813998e-06
4-6A-rep2,0.7918573459420273,0.002553199804880788,2.6768280897037417e-06,0.019445482062609567,0.18613720266670933,5.428388850945548e-07,2.8705562404934267e-07,1.8966484052477664e-06,1.3661527690295462e-06
4-6B-rep1,0.6340939909428495,0.0866058662119276,4.056696992937886e-06,1.5628551536695759e-06,0.27928832086777455,8.226650345172357e-07,4.350289401721564e-07,2.87434516688765e-06,2.070386160147212e-06
4-6B-rep2,0.7432259280529662,0.0866961673061125,1.591323494263677e-06,6.130623333453253e-07,0.1700732672251876,3.227074143362229e-07,1.706491203029764e-07,1.1275214793350976e-06,8.121518921862114e-07
4-6C-rep1,0.26607210354153876,1.7400961381097315e-06,0.6565603873730803,1.0774219277667421e-06,0.07304005069150502,5.671397923951499e-07,2.999060522365617e-07,0.004322346519544019,1.4273104213463214e-06
4-7A-rep1,0.046697952020565404,1.3018622548099203e-06,0.1690791115543138,8.06078991582481e-07,0.3633647438959796,4.2430867625626556e-07,2.2437632085084874e-07,1.4825105500945434e-06,0.42085395339234766
4-7B-rep1,3.6314290122940867e-06,3.211626396771451e-06,5.16168415754961e-06,0.018834026999475235,0.07245780693059317,1.0467474112633671e-06,5.535247006299143e-07,0.010267966518648154,0.8984265945396048
4-7B-rep2,1.533793213295853e-06,1.3564827384297336e-06,2.1801214076397233e-06,0.0303120987624972,0.031535287064504196,4.421108246906127e-07,2.3379017635854773e-07,0.01662615950087203,0.9215207083737662
4-7C-rep1,2.260540873675662e-06,1.9992164837310636e-06,3.2131147203050664e-06,1.2378624552689729e-06,0.038239797141672645,6.515934359626151e-07,3.44565515703842e-07,0.0029593846552023757,0.9587911113096405
4-7C-rep2,7.004813954345104e-07,6.195039287312348e-07,0.003584496564602197,3.83580597953483e-07,0.04118838539624159,2.0191144720904855e-07,1.0677167401374272e-07,0.008689467937780086,0.9465356378523329
4-8A-rep1,0.06529517991662283,3.592909878867741e-06,0.683474709455702,2.2246356412163596e-06,0.25121546428163827,1.1710170019738512e-06,6.192390145658822e-07,4.091467266433682e-06,2.947077233696319e-06
4-8A-rep2,0.03848178178374521,4.247051370011084e-06,0.7087460591098528,2.62966291010363e-06,0.2527548461800836,1.3842176759820677e-06,7.319804820724128e-07,4.836378379949431e-06,3.483635500159777e-06
4-8B-rep1,0.9189328483489322,2.1059752791141877e-06,3.384696067177203e-06,1.3039647036497385e-06,0.08105518203533318,6.863887324545168e-07,3.629654237110308e-07,2.398203464298866e-06,1.7274220643019753e-06
4-8B-rep2,0.9505759629866245,2.423080279726596e-07,3.8943430982223603e-07,1.5003078099768615e-07,0.04942265982057881,7.89740989997108e-08,4.1761855855532106e-08,2.759310414868126e-07,1.98752681490891e-07
4-8C-rep1,0.189581834755987,4.715747200851666e-06,0.6166917212424943,2.9198670859194895e-06,0.19370722045635505,1.5369770841422147e-06,8.127603385692095e-07,5.370111124284924e-06,3.868082329934966e-06
4-8C-rep2,0.18681639305215722,4.036927319545931e-06,0.6749601833325699,2.4995596045654366e-06,0.13820696725081033,1.3157331205899218e-06,6.957655436705517e-07,4.597097211383199e-06,3.311281662669966e-06
4-9A-rep1,4.533189180861973e-06,0.010911073279511145,0.9672406555111027,2.4823548890298315e-06,0.0038294535469892816,1.3066767996207489e-06,6.909765207416872e-07,0.018006515975222393,3.2884897840684523e-06
4-9B-rep1,0.0010782081705571016,5.075461461383761e-06,0.762667872715597,0.017698885683957465,0.18998299158382467,0.007240821844968898,8.747571911836664e-07,5.779739857499982e-06,0.02131949004258479
4-9C-rep1,1.0542375644084525e-06,0.0419647388863208,0.7159473806378979,0.047997912337103536,0.1637712203343581,0.006107712341348131,1.6069336072835805e-07,0.02420905576152348,7.647705229630835e-07
5-10A-rep1,0.020863323976512842,2.6413794820077806e-06,0.7996039982920609,0.05993150092222134,0.11959204480977359,8.608900268522029e-07,4.5524248664107616e-07,3.007901131177304e-06,2.1665863045334283e-06
