,10_1,10_2,10_3,10_4,10_5,10_6,10_7,10_8,10_9,10_10
1-8A-rep1,3.713754632080295e-07,6.938035377093698e-08,1.0271199411110836e-07,0.9999967575355945,9.624035910720034e-07,6.922430575342829e-07,3.636633490061005e-07,1.318307371085667e-07,2.1912567549878262e-07,3.2973018439267575e-07
1-8A-rep2,6.060132276616368e-07,1.1321537444028604e-07,1.6760619167768973e-07,0.9999947089226006,1.5704572981225563e-06,1.1296073413113975e-06,5.934285426659342e-07,2.151223718714648e-07,3.5757089799486404e-07,5.380561536703909e-07
1-8B-rep1,2.079745678065618e-06,3.8853803008774013e-07,5.751990828710739e-07,0.9997684156770045,0.00014767366919935153,7.501869015023639e-05,2.036556943835145e-06,7.382674217875425e-07,1.227129204054397e-06,1.8465272853374122e-06
1-8B-rep2,5.731831049085003e-07,1.0708205181503769e-07,1.5852630431583076e-07,0.9999949955610972,1.485379442520517e-06,1.068412063740982e-06,5.612801818519104e-07,2.034683459309133e-07,3.381998744952333e-07,5.089075332001092e-07
1-8C-rep1,0.0005315342034849784,7.204700370288487e-07,1.0665975334293508e-06,0.9780677041490893,0.0001419133654140252,7.1884957943758375e-06,3.7764083387279324e-06,0.020712719087855644,2.275478214795608e-06,0.0005311017442376642
1-8C-rep2,1.4400567139392344e-06,0.9596865191847136,3.982791308938331e-07,0.0402519166183169,3.7318452351983576e-06,5.194441299296525e-05,1.4101519869569539e-06,5.111908483043934e-07,8.496883382457921e-07,1.2785717228634294e-06
1-9A-rep1,1.8663721713749063e-06,3.4867559746586705e-07,5.161859801384185e-07,0.6909189582329907,0.30881421052181757,3.4789136774115502e-06,1.8276144268416258e-06,0.00025603517159082575,1.1012307039670188e-06,1.6570810437955206e-06
1-9A-rep2,7.747643163052998e-07,1.4474144815606553e-07,2.14277990275493e-07,0.7392622985428008,0.2601498912606537,1.444159004352992e-06,7.586752865258096e-07,0.0005833285541857251,4.571404709838156e-07,6.878838431313157e-07
1-9B-rep2,1.25712658695085e-06,2.3485635422457483e-07,3.47685809612803e-07,0.29478868175233497,0.7024084283209816,2.343281230109223e-06,4.4233663637554674e-05,0.002752615405469488,7.417525923051563e-07,1.1161550031862114e-06
1-9C-rep1,3.050138982760231e-06,5.698268804471066e-07,8.43582541854255e-07,0.20983396091456316,0.783678457165508,5.685452445057491e-06,2.986798717995281e-06,0.006469938319442248,1.79969823312779e-06,2.7081026854093865e-06
1-9C-rep2,9.564943652267838e-07,1.7869225087218215e-07,2.645394037609042e-07,0.3465627095424237,0.6453825712756818,1.7829034211880751e-06,9.366314649845066e-07,0.008049186317804394,5.643681251329549e-07,8.49235059021971e-07
2-10A-rep1,0.07403198451883829,2.7008239514505725e-07,3.998351099684588e-07,0.0064352363474996545,0.9191297282610829,2.6947493467482772e-06,1.4156611055964934e-06,5.131879458206924e-07,0.0003964737898862474,1.283566789619046e-06
2-10A-rep2,0.05697682387302825,2.8918870867944587e-07,4.281204595893074e-07,0.16712020705834355,0.7758950133546249,2.8853827491509357e-06,1.5158085621807656e-06,5.494921625011347e-07,9.133518019412147e-07,1.3743695593131556e-06
2-10C-rep1,3.6058120492829533e-06,6.736377073749269e-07,0.018379303815311956,0.7923799948293052,9.344307335179877e-06,0.18921693764562303,3.53093248111077e-06,1.2799899493242706e-06,2.127566517710892e-06,3.2014637198295497e-06
2-10C-rep2,3.6982507791146463e-07,0.9999952033045457,1.0228320120143376e-07,1.636858111948264e-06,9.58385834045004e-07,6.89353142705825e-07,3.621451595588812e-07,1.312803818570838e-07,2.182108890924366e-07,3.2835365610698855e-07
2-11B-rep1,4.727207412096871e-07,8.831367580581323e-08,1.307412438288367e-07,0.4099055922174558,0.030579453698834164,0.5595129329636808,4.629040551251046e-07,1.6780624983097605e-07,2.7892325153919396e-07,4.1971081185296363e-07
2-11B-rep2,1.7292540703733172e-06,3.2305919762697853e-07,4.782629750455579e-07,0.42981153930444427,0.0296400093183027,0.5405410579423293,1.6933437688157822e-06,6.138500286907882e-07,1.0203257991422946e-06,1.535339083957152e-06
2-11C-rep2,2.2022644362502464e-06,4.114269811051201e-07,6.090843209006816e-07,0.3462404863402935,0.08581006124526755,0.5679400366211944,2.1565314341598664e-06,7.817590893887978e-07,1.2994199402720455e-06,1.955307042564264e-06
2-12A-rep2,2.1344103552382367e-06,3.9875048356608376e-07,5.903177930608597e-07,0.029798330029971617,0.7915282793673629,3.978536270489413e-06,0.17858936450178667,7.576722705172264e-07,7.427135172773324e-05,1.8950619783087594e-06
2-12B-rep2,2.079301900674258e-06,3.8845512360775314e-07,5.750763465426847e-07,9.203059464028285e-06,0.8782088323832574,0.10370684992096973,0.01806826069241754,7.381098898383131e-07,1.226867358482229e-06,1.8461332722278264e-06
2-12C-rep2,2.250757581997235e-06,4.204864692531215e-07,6.224961593063969e-07,0.15145296707351688,0.18494030064187128,0.474967031575307,0.18863228160091325,7.98973169967292e-07,1.3280327442173548e-06,1.9983622669208035e-06
2-1A-rep1,4.004954755748392e-06,7.482055367636689e-07,1.1076576942759913e-06,0.4356708889263781,0.407989975840477,0.15632201202790494,3.9217864489812075e-06,1.4216774931116526e-06,2.363075924872933e-06,3.5558473860657823e-06
2-1A-rep2,2.577386161575595e-06,4.815072114612602e-07,7.128324256078128e-07,0.5659417838549446,0.3329172728529811,0.10112992366390909,2.523863249079332e-06,9.149196733646343e-07,1.5207560531808871e-06,2.288363390963728e-06
2-1B-rep1,2.9203378557321855e-06,5.455774374836991e-07,8.076832056952268e-07,0.19001561479415338,0.6317515253522579,0.01878594065638587,2.8596930870738764e-06,1.036660550488682e-06,0.1594361563878773,2.592857189167864e-06
2-1B-rep2,1.5254980133527369e-06,2.8499349668663317e-07,4.2190978803633054e-07,0.20111945067301293,0.6388263866612053,0.014248761211458703,1.493818982131436e-06,5.415207720529806e-07,0.14564323073545452,0.00015790297781629519
2-1C-rep1,2.309799049146501e-06,4.315165945139189e-07,6.38825366340599e-07,1.0223247519928748e-05,0.8718189342768521,0.03690267839536888,2.261832945256254e-06,8.199316901318268e-07,0.0912596513916682,2.0507829456640207e-06
2-1C-rep2,1.1979855913539233e-06,2.2380763506193662e-07,3.3132907581298823e-07,5.302324126527327e-06,0.8591814315605716,0.030491056628921105,1.1731077989091069e-06,4.252605225702893e-07,0.1103177943498001,1.063645956910266e-06
