,12_1,12_2,12_3,12_4,12_5,12_6,12_7,12_8,12_9,12_10,12_11,12_12
3-9A-rep2,5.779775568971019e-07,0.0009712486974187822,1.2108695262276582e-07,0.06052437701512212,0.2290959495699513,0.06303733974439656,9.749851543659378e-08,1.8921850798129858e-07,2.6483509778435715e-07,4.715790176056107e-07,0.6463690769448757,2.8583258731125854e-07
4-10A-rep1,1.8442794442126189e-06,2.694015174906147e-06,3.86378631868351e-07,9.023198890341877e-06,4.114228964125157e-06,2.1081637052734412e-06,3.1110984451766387e-07,6.037808917840355e-07,8.450672887229159e-07,0.004109082534771452,0.9958680751738203,9.120685725139891e-07
4-10A-rep2,1.5489623369138582e-06,2.262633276154947e-06,3.245093634971857e-07,7.578350061581658e-06,3.4554338990590054e-06,1.7705918643535382e-06,2.6129306668422203e-07,5.07099867135923e-07,7.097500362525321e-07,1.2638174760131258e-06,0.9999795515360806,7.660226718571421e-07
4-10B-rep1,1.548140667749633e-06,2.2614330300620234e-06,3.2433722287689196e-07,0.14127020752556924,3.453600914862932e-06,1.769652628645415e-06,2.6115446005021694e-07,5.06830868778714e-07,7.093735392227474e-07,1.2631470660073424e-06,0.8587169291877084,7.65616324205193e-07
4-10B-rep2,1.9058220213298257e-06,2.7839129597439383e-06,3.992718714600067e-07,0.07660884721633435,4.251518491532223e-06,2.178511953102489e-06,3.214914066275885e-07,6.239287236167429e-07,8.732667131369654e-07,1.5549836941330634e-06,0.9233753175720385,9.425037924239996e-07
4-10C-rep1,2.3055528679451937e-06,3.3678163210480805e-06,4.830159364472744e-07,0.002381245646938565,5.143240313927388e-06,2.6354373205445787e-06,3.889216444528084e-07,7.547927571558979e-07,1.0564273853594887e-06,0.024807521624021046,0.9727939573381081,1.1401863853772267e-06
4-10C-rep2,1.8373130691580088e-06,2.683839103069474e-06,3.849191684062772e-07,8.989115667292508e-06,4.0986883354451725e-06,2.1002005633029895e-06,3.099346929608363e-07,6.015002373223845e-07,8.418752259918043e-07,0.014418149199729812,0.9855590947907806,9.086234266215954e-07
4-11A-rep1,1.1672261888056803e-06,1.7050155143559969e-06,2.445352082228465e-07,0.057437873954607456,2.603854751371463e-06,0.04015585506772628,1.9689833840300412e-07,3.821269447004297e-07,5.348347148777757e-07,0.06079265719920501,0.841606202047637,5.772391636016135e-07
4-11A-rep2,1.1752638970997659e-06,1.7167565269144166e-06,2.4621911721167736e-07,0.0009722288551322151,2.6217853162717478e-06,0.03314351354904142,1.9825421220265972e-07,3.847583326372913e-07,5.385176732152138e-07,0.06362748236074099,0.9022493124658841,5.81214125830399e-07
4-11B-rep1,2.604280326181682e-06,3.804179860302201e-06,5.455996772014862e-07,1.2741528634980895e-05,5.809643209059562e-06,0.07388925304638883,4.393137113257266e-07,8.525902637649948e-07,1.1933072947415365e-06,2.124864440037455e-06,0.9260793437273551,1.2879188384279127e-06
