,6_1,6_2,6_3,6_4,6_5,6_6
3-5B-rep2,0.28838497311332134,0.4046537885833277,8.931960412656011e-07,0.3068771415349297,8.037739616317339e-05,2.8261762169311487e-06
3-6A-rep2,0.5645554561785397,1.808738923962558e-06,1.4216394870753693e-06,2.0852990485726992e-05,0.2886463659383542,0.14677409451420936
3-6C-rep2,0.4261802385512373,0.060067516998243316,1.0692084899340502e-06,0.0903783664743821,0.42336942566756003,3.3831000873121035e-06
3-7A-rep2,0.2689679519190241,2.019549742886816e-06,1.587333374963207e-06,0.05908114178827508,0.5342709779546984,0.1376763214548846
3-7B-rep2,0.061682195299578774,1.8805400339172923e-06,1.4780739960999581e-06,2.1680787047693225e-05,0.36019615200502275,0.5780966132943208
3-7C-rep2,7.670696297461373e-06,1.1465828419766053e-06,9.011955356088653e-07,0.6745284270666935,0.31931560757205874,0.006146246886572779
3-8A-rep1,0.03875720193451896,1.2908558438621533e-06,1.0145917774225014e-06,0.7359043161553955,0.2253329661760111,3.210286453108808e-06
3-8A-rep2,0.01174356135026229,9.72282927329536e-07,7.641986268934372e-07,0.8072319933886611,0.1736767846843105,0.007345924095211837
3-8B-rep1,0.07315732862908078,1.0531222856122119e-06,8.277370526562392e-07,1.214146978938632e-05,6.5033036310408535e-06,0.9268221457381606
3-9A-rep2,0.49171951660987023,0.006713916689648016,2.4112656572106726e-07,0.08304237566464852,0.4015708268388084,0.016953123070459188
4-10A-rep1,0.00019612913399590627,9.78918645818007e-07,0.40627096554170106,0.047469509227131765,0.5137681689712106,0.03229424820731495
4-10A-rep2,5.500348749360106e-06,8.221685823998739e-07,0.43940433336155776,0.026918244276649836,0.5198696882457201,0.013801411598740584
4-10B-rep1,5.497431015988588e-06,8.217324521071972e-07,0.03750440404197404,0.2159610996902363,0.7465261335015664,2.0436027551975985e-06
4-10B-rep2,6.767550972866211e-06,1.0115845454940666e-06,0.040684001084028136,0.14883514004822007,0.8104705639779158,2.5157543175832892e-06
4-10C-rep1,8.18698670441199e-06,0.009876055070674645,0.2257791050372547,0.07142888877613325,0.681291919090655,0.01161584503857807
4-10C-rep2,6.524277013384915e-06,0.014039867540837268,0.23929148268601003,0.06441387492796592,0.6666330660761335,0.015615184492039906
4-11A-rep1,4.144809533039279e-06,6.195483838170865e-07,4.0481445222087605e-05,0.12383008454201641,0.8761231288725853,1.5407822593595827e-06
4-11A-rep2,4.173351324087542e-06,6.238146885469519e-07,4.903082374724899e-07,0.06959357639955938,0.9303995847338694,1.5513923211602428e-06
4-11B-rep1,0.006255653801757368,1.3823156800695706e-06,1.0864777267495926e-06,1.5936747610656658e-05,0.9935440341712334,0.00018190648599185948
4-11B-rep2,0.00038352983634322885,6.526185353380916e-07,5.129475943390097e-07,0.00042881714871025896,0.999184864422936,1.623025880856853e-06
4-11C-rep1,7.259126488416482e-06,0.00021122142365892493,8.528420537189097e-07,0.1115949171474827,0.888183050968812,2.6984915042882256e-06
4-11C-rep2,8.555330151942547e-06,1.2788141231597007e-06,1.0051271800634555e-06,0.11740497457830606,0.8825810058108732,3.1803393656574757e-06
4-12A-rep1,2.874548897480147e-06,0.006185863303701515,3.377177941663306e-07,0.142935624082314,0.8508742317688914,1.0685784013943217e-06
4-12C-rep1,0.07386991599155944,8.794897408626932e-07,6.912646858668315e-07,0.06989993488367544,0.856226391128429,2.187241909439102e-06
4-12C-rep2,0.08078614675035398,9.467663292326149e-08,7.441429942369875e-08,0.06210289219778433,0.8571105565054263,2.3545550306387156e-07
4-1A-rep1,5.716080789725904e-07,8.544152841797227e-08,6.7155656919769e-08,0.14740579656321895,0.8525932667432033,2.1248831348391716e-07
4-1A-rep2,4.398105515889107e-06,6.574099828968636e-07,5.167135944839496e-07,0.15673339524258542,0.8432593975863778,1.6349419435697004e-06
4-1B-rep1,7.602495361517707e-07,1.1363884580605544e-07,8.931829150313673e-08,0.24191636465305588,0.7580823895268024,2.8261346839985164e-07
