,19_1,19_2,19_3,19_4,19_5,19_6,19_7,19_8,19_9,19_10,19_11,19_12,19_13,19_14,19_15,19_16,19_17,19_18,19_19
1-5A-rep2,1.6861609352188712e-07,5.214441472977509e-07,4.5331716266231297e-07,3.6758545447589604e-07,1.1098202464650905e-06,9.351917087386002e-07,2.996105247799833e-07,1.931264906735204e-07,2.996260078073132e-07,7.506039001235796e-07,3.8029130576710367e-06,3.870749848032224e-07,7.261209697327528e-07,1.4453534511004805e-07,7.778620633306806e-07,7.337151284308618e-07,0.9999875658294943,4.2023337793924034e-07,3.427738421453483e-07
1-5A-rep3,2.7817894840088144e-07,8.602665470141134e-07,7.47872216510014e-07,6.06434018472215e-07,1.8309558869930265e-06,1.5428577465908287e-06,4.942905447060033e-07,3.186156372252745e-07,4.943160882479674e-07,0.036293113544690996,0.07301866858517532,6.385873968244362e-07,1.197937655612132e-06,2.38451084173959e-07,1.2832989203974225e-06,0.8906762215005347,2.0551516576040695e-07,6.932913502880665e-07,5.65500391781675e-07
1-5B-rep1,7.197107975388906e-07,2.2257008526587463e-06,1.9349117267706753e-06,1.568979657153558e-06,4.737090025185035e-06,3.991716072230369e-06,1.27883955342885e-06,8.243295033429551e-07,1.278905640251971e-06,3.2038325660985653e-06,0.013077762362358617,1.6521675968250326e-06,3.0993310977652127e-06,6.169259785882108e-07,0.07787961366741537,0.909011703041573,5.317134337664034e-07,1.7936988888302872e-06,1.463075262586818e-06
1-5B-rep2,1.8628197928029972e-07,5.7607578146237e-07,5.008111416808736e-07,4.0609733379649274e-07,3.311951069765961e-05,1.0331716200490604e-06,3.310006797303718e-07,2.1336032749123013e-07,3.310177849124219e-07,8.292445712033e-07,3.6094758485569434e-05,4.2762877963174167e-07,8.021965674420635e-07,1.5967829405065682e-07,8.593585685549533e-07,8.105863651399257e-07,0.9999224762736371,4.6426117321954556e-07,3.786862121322966e-07
1-5B-rep3,3.50387772978827e-07,1.0835718565665033e-06,9.420025559879953e-07,7.638502712465032e-07,2.3062297106013744e-06,1.943347952671242e-06,6.22596944016196e-07,4.0132089148137724e-07,6.226291180711855e-07,0.003600961903938878,7.902532962765458e-06,8.043499233565717e-07,1.5088945792998115e-06,3.0034747355395346e-07,0.0649708249200375,0.9314068167068791,2.588621520719478e-07,8.732537585944437e-07,7.122912212950456e-07
1-5C-rep1,5.903678752436683e-07,1.8257087260680731e-06,0.00010266430694257385,1.2870102680990174e-06,3.885763257366366e-06,3.2743442841168476e-06,1.0490127319432846e-06,6.761850163335247e-07,1.0490669419641442e-06,0.01031249512521116,0.5895962033825397,1.3552480760597811e-06,0.021430893499167384,5.060550437859202e-07,0.003540422977887592,0.3749987143069988,4.361564828603591e-07,1.4713440529818424e-06,1.2001384959745274e-06
1-5C-rep2,1.8645443266823662e-07,5.76609092417114e-07,5.012747752456075e-07,4.064732846067424e-07,1.2272310435866577e-06,1.03412809445891e-06,3.313071086659535e-07,2.1355784907366846e-07,3.3132422968338715e-07,8.300122570325186e-07,4.205233212585616e-06,4.280246635068848e-07,8.029392131686186e-07,1.598261186705981e-07,8.601541328772375e-07,0.08839543371150517,0.9115916280112298,4.6469097009264406e-07,3.790367866779371e-07
1-5C-rep3,3.092572106702905e-07,9.56375866297236e-07,8.314247966830034e-07,6.741850671533361e-07,2.035511003714819e-06,1.7152264249849962e-06,5.49512880091083e-07,3.5421150238237565e-07,5.495412773676701e-07,0.00794358492085863,0.7132702233631071,7.099306336672503e-07,1.3317717248597563e-06,2.650909337203877e-07,1.4266695839484473e-06,0.27871990705230515,2.2847540145961838e-07,5.37188011025976e-05,6.286783194799193e-07
1-6A-rep1,3.7581897718969825e-07,0.0012237005461034419,1.010373261862886e-06,8.192906539672011e-07,2.473616255596556e-06,2.0843964779008802e-06,6.677851362003365e-07,4.3044883010373473e-07,6.678196454537144e-07,1.6729790385187961e-06,0.8722574013644517,8.627297777218542e-07,1.6184104047312227e-06,3.221467443139848e-07,0.11292566880544125,0.013513901071736154,2.7765041113658444e-07,6.528075721331765e-05,7.639894393931405e-07
1-6A-rep2,2.5604554071592415e-07,7.918191310171469e-07,6.883674956839994e-07,5.581828785422105e-07,1.6852752259187438e-06,1.4200997172665612e-06,4.549621404407333e-07,2.9326486990787564e-07,4.549856516016302e-07,1.1398009374809559e-06,0.03060446350311595,5.8777796182714e-07,1.1026233168915199e-06,2.194786382384147e-07,1.181192782064161e-06,1.1141551370726552e-06,0.9693824298299333,6.381293756361714e-07,5.205061505234562e-07
