,14_1,14_2,14_3,14_4,14_5,14_6,14_7,14_8,14_9,14_10,14_11,14_12,14_13,14_14
1-7C-rep1,2.2334267816714207e-06,8.246750470916144e-07,1.145647643071413e-06,1.6344152102133459e-06,7.222157269890176e-07,0.6839145156196917,3.1293456354311854e-06,1.7490638960962615e-06,0.014808205599664727,5.066937204747343e-07,4.081916361709785e-06,0.30125718093900145,3.3357364160313263e-06,7.347052032720441e-07
1-7C-rep2,1.0198403621277913e-06,3.7656792941036644e-07,5.23132308060901e-07,7.46316205003927e-07,3.2978235713447517e-07,0.5468894282160404,1.4289400540244278e-06,7.986677565693679e-07,0.01903642619199896,2.3136944162105697e-07,1.8639084543376384e-06,0.43406496839830194,1.5231834159087e-06,3.3548537463198e-07
1-8A-rep1,2.9131472702124467e-07,1.0756564226606895e-07,1.4943137296585934e-07,2.1318326828979464e-07,9.420146614379056e-08,5.351176051819757e-07,4.0817298199430137e-07,2.2813735181087224e-07,5.356475010466409e-07,0.0010163594752365744,5.324205657394058e-07,0.9989800144084114,4.350933513583852e-07,9.583051814759313e-08
1-8A-rep2,4.753693658713033e-07,1.7552635143581895e-07,2.4384313740128354e-07,3.47873916631414e-07,1.5371859734937144e-07,8.732085715095866e-07,0.0021773088451432065,3.7227609249560486e-07,8.740732592091731e-07,1.0784623636186067e-07,8.688075240834781e-07,0.9978173322465995,7.099883093619646e-07,1.563768955615402e-07
1-8B-rep1,1.6313922612865302e-06,6.023785963981934e-07,8.368309695244003e-07,1.1938481026342971e-06,5.27537843487115e-07,0.00014528038539785005,2.2858104391103723e-06,1.277592499563256e-06,2.9996807814018658e-06,0.0006406466355704334,7.412344565743242e-05,0.9991256212339191,2.4365672604376326e-06,5.366607012959583e-07
1-8B-rep2,4.4961675674644213e-07,1.6601740566823783e-07,2.3063320538607005e-07,3.290282323216499e-07,1.4539106251652736e-07,2.043281367792813e-05,6.299764321301135e-07,3.521084473235231e-07,8.267213080592513e-07,1.0200378590120922e-07,8.217408383044085e-07,0.9999746945180187,6.715254787150909e-07,1.4790535036599672e-07
1-8C-rep1,0.00039878118815242123,1.1169939302149143e-06,1.5517402496763422e-06,2.213759074798863e-06,9.782163122280887e-07,5.556821902861046e-06,0.02546454695407217,2.369046768648664e-06,5.562324500642342e-06,6.862991820163753e-07,5.52881503539449e-06,0.9619690745191204,0.012141038188821158,9.951328774241663e-07
1-8C-rep2,1.1296090497428382e-06,4.170991428671957e-07,5.794387154530024e-07,8.266446107146024e-07,3.65277889460457e-07,2.0749850022041367e-06,1.5827414529841419e-06,8.846309276054324e-07,2.077039739258688e-06,2.5627247635482765e-07,5.132457533341891e-05,0.09256633075728406,1.6871285300366222e-06,0.9073704637998458
1-9A-rep1,1.4640184533266168e-06,5.405771511509271e-07,7.509757222538084e-07,1.0713644377270963e-06,4.7341473661533897e-07,2.6892634529569344e-06,0.02700763631200001,1.1465170208158616e-06,0.30702363363149976,0.0002557041016915846,2.675709330397988e-06,0.6656995459269036,2.186585971199266e-06,4.816016285702442e-07
1-9A-rep2,6.077410782373514e-07,2.2440355172056438e-07,3.117438814623892e-07,4.447431499855273e-07,1.9652319397361453e-07,1.1163628893137505e-06,0.030664132500679724,4.7594037415637514e-07,0.25294005746463544,0.00047718114205216297,1.110736322900043e-06,0.7159130330842772,9.076921897915728e-07,1.9992172391207347e-07
