,18_1,18_2,18_3,18_4,18_5,18_6,18_7,18_8,18_9,18_10,18_11,18_12,18_13,18_14,18_15,18_16,18_17,18_18
1-5C-rep3,1.4653155226260223e-06,1.5750035376130039e-06,3.287048639427723e-07,1.3771115985349842e-06,1.514358736941518e-06,1.291436060954239e-06,1.2237132388225433e-06,0.33256839129624804,2.4035896168079707e-07,4.78028122686684e-07,5.560294798869019e-07,0.6674163438245159,2.377417435571686e-06,6.297363548463144e-07,5.193621735344122e-07,9.224276193895741e-07,2.6446215328594546e-07,5.014133758417668e-07
1-6A-rep1,0.00025915716489228666,1.9139932363379736e-06,3.9945236395554474e-07,0.04008805839044446,1.8402957902482945e-06,1.5693932278879223e-06,1.4870943501963634e-06,0.04401341967544135,2.920916785034563e-07,5.809146276511183e-07,6.757043005255437e-07,0.9090611686869621,2.8891115371921484e-06,7.652751851457329e-07,0.006563731077518294,1.1209627041211077e-06,3.2138262585988543e-07,6.093331138957363e-07
1-6A-rep2,1.2131892061305783e-06,1.3040039922768504e-06,2.7214697911841384e-07,0.00043951676550822846,1.253793906840279e-06,1.0692279344380778e-06,1.0131576918519403e-06,1.392344429695433e-06,0.968987843622874,3.9577725733160113e-07,4.603574812885895e-07,0.030559948070092553,1.9683522946192997e-06,5.213821437163261e-07,4.2999925495587303e-07,7.637121247952329e-07,2.1895805022359332e-07,4.151387779545e-07
1-6A-rep3,1.503446097746521e-06,1.6159884243344497e-06,0.9628720616164166,0.0001100646874283407,1.5537655190896038e-06,1.3250419287521086e-06,1.2555568171224918e-06,1.72546441145916e-06,2.466136046588704e-07,4.904674144026072e-07,5.704985300843933e-07,0.037002236333792966,2.439282810448347e-06,6.461234121140511e-07,5.328770637180698e-07,9.464311156272466e-07,2.7134401172987065e-07,5.144612007632509e-07
1-6B-rep1,3.1507700644484783e-06,3.3866248743602695e-06,7.067921067903828e-07,0.012184981390461952,0.01776395868783892,2.776888675629195e-06,2.6312688160441995e-06,0.09358885595700554,5.168278159154234e-07,1.0278719331564126e-06,1.1955930399473647e-06,0.8764355982502536,5.112001866514664e-06,1.3540800085082204e-06,1.1167497809935925e-06,1.983434478728924e-06,5.686552983890051e-07,1.0781556805492865e-06
1-6B-rep2,0.01080885162590525,1.2317556252827378e-06,2.570686703554512e-07,0.02016717911090028,0.01118156948619382,1.0099873395739798e-06,9.570236698877755e-07,0.06923688551804816,1.8797640517439014e-07,3.7384921055799425e-07,4.348513659288123e-07,0.8861124533822746,1.8592956967886031e-06,0.0024850225302364376,4.0617513772675087e-07,7.213986394095647e-07,2.0682667511848478e-07,3.921380057476796e-07
1-6C-rep2,1.0856851557541629e-06,1.166955467708607e-06,2.435448105861225e-07,1.0203328888967896e-06,1.1220223738827072e-06,9.56853960347684e-07,9.066766015748821e-07,0.40022978079723115,1.7808734891558625e-07,3.541817641458362e-07,4.1197472022480347e-07,0.5997589091111639,1.7614819327141348e-06,4.6658579803352853e-07,3.8480709004980506e-07,6.834473245967965e-07,1.9594594450673297e-07,3.715084230271442e-07
1-7A-rep1,0.97140070761723,4.22385131067615e-06,8.815221281943878e-07,0.014203324454006254,4.061213821499355e-06,3.463378823252092e-06,3.2817594654586644e-06,0.012784178177482508,0.0015626040398218262,1.2819778904181296e-06,1.4911622680887861e-06,1.6515721263479992e-05,6.375768378579474e-06,1.6888296846807442e-06,1.3928277270561665e-06,2.4737703859811098e-06,7.092357484314103e-07,1.3446925636431115e-06
1-7A-rep2,0.8045176278941845,1.1968648380596587e-06,2.497869270494013e-07,0.00575477799499818,1.1507800974216521e-06,9.813783747438086e-07,9.29914957292418e-07,0.02096417387072565,0.0013682027312440636,3.63259534333783e-07,4.225337388192914e-07,0.167385960184276,1.8066291700767426e-06,4.78544512671824e-07,3.9466979525877886e-07,7.009642562299625e-07,2.009680897258185e-07,3.810302799619871e-07
1-7B-rep2,0.888776193384525,1.6539050531548196e-06,3.4517169167470066e-07,1.4460995021172814e-06,1.5902221852228859e-06,0.014513097443615808,1.28501648470478e-06,1.765949722273809e-06,2.524000053342063e-07,5.019754615026657e-07,5.838843815434998e-07,0.09669580848622303,2.496516748216045e-06,6.612836825840388e-07,5.453801865917425e-07,9.68637634420886e-07,2.7771067254282103e-07,5.265322243535689e-07
1-7C-rep1,0.6298580717347032,2.8971403397865655e-06,6.046361792024445e-07,0.007599366181362076,2.785587258013839e-06,2.3755321299887195e-06,2.2509593812701485e-06,0.03370186567097884,4.4212830465765755e-07,8.79308855322916e-07,1.0227884559118377e-06,0.3288178459327621,4.373140626430166e-06,1.158368570917895e-06,9.553407773205202e-07,1.6967595328179276e-06,4.864649217186652e-07,9.223248604643333e-07
1-7C-rep2,0.510109187346945,1.322909798437756e-06,2.760926403778591e-07,0.01014105330061454,1.2719717534640906e-06,1.0847298931667595e-06,1.0278467288840574e-06,0.03104372758637066,2.0188730879408425e-07,4.0151534414293163e-07,4.6703186983150204e-07,0.44869559764117345,1.99689000398127e-06,5.289412844883166e-07,4.3623350163891815e-07,7.74784631842471e-07,2.221325638596054e-07,4.2115757338178933e-07
1-8A-rep1,3.515687204496669e-07,3.778858340557029e-07,7.886516360301748e-08,0.21983726613083784,3.6333551049413307e-07,3.0985034723345173e-07,2.936018153954681e-07,4.034859089576816e-07,0.0010290545939781435,1.1469184133853338e-07,1.3340647100073267e-07,0.7791300014077979,5.704065731186452e-07,1.5109073853062613e-07,1.2460899511405241e-07,2.2131526817858727e-07,6.345160438311483e-08,1.2030259438262183e-07
1-8A-rep2,5.736922000723207e-07,6.166366428682818e-07,1.286927038293104e-07,0.5787386443272398,5.928933271230002e-07,5.056158783698752e-07,4.791014149495933e-07,6.584110170894806e-07,9.41040065464098e-08,1.8715491726252375e-07,2.1769357568103607e-07,0.4212552600000428,9.307932783371675e-07,2.465508822494814e-07,2.0333779542260617e-07,3.6114374153814087e-07,1.0354075433704342e-07,1.9631058177616014e-07
1-8B-rep1,1.968819667435601e-06,2.1161981110907403e-06,4.4165273002259857e-07,0.3107491752033582,2.0347148575210546e-06,1.7351926440290572e-06,1.6441992558554476e-06,2.2595610669600076e-06,0.0009963079655571758,6.422856749966078e-07,7.470894553232104e-07,0.688233920409324,3.194333324518023e-06,8.461231056221189e-07,6.97822718716686e-07,1.2393874293949575e-06,3.5533527123811515e-07,6.737064479487539e-07
1-8B-rep2,5.426130661804596e-07,5.832310417743239e-07,1.217209204013458e-07,0.2842614400445108,5.607739936286215e-07,4.782247031373596e-07,4.531466311454533e-07,6.227423359510219e-07,8.900602714413145e-08,1.7701600874783782e-07,2.0590026947060474e-07,0.7157327945090298,8.803685925571649e-07,2.3319426370102953e-07,1.9232219756644152e-07,3.415791828844645e-07,9.793154966788527e-08,1.8567567536704162e-07
1-8C-rep1,0.02084677805400342,3.92407542789208e-06,8.189585920430968e-07,0.22611178627963371,0.0007952841425625463,3.2175753212368063e-06,3.048845882928846e-06,4.189913984995133e-06,0.024933200446844623,1.1909931408275393e-06,1.3853312498044196e-06,0.7272821828134656,5.923266277171585e-06,1.5689697813935545e-06,1.293975724290578e-06,2.2982015397510875e-06,6.58899750085386e-07,1.2492568177586855e-06
1-8C-rep2,1.3632509112511741e-06,1.4652987528766794e-06,0.9424431011225988,0.027980975302042174,1.4088780854494437e-06,1.201482793114327e-06,1.1384771144342289e-06,1.5645661888237217e-06,2.2361707664947767e-07,4.447317071264178e-07,5.172999831325707e-07,0.029512484360106044,5.147184641775426e-05,5.858729033687676e-07,4.831866894246223e-07,8.581771456583602e-07,2.4604139237698283e-07,4.664880914554211e-07
