,4_1,4_2,4_3,4_4
5-2A-rep2,1.972872728130241e-06,0.12728179358435365,0.8727005129622323,1.5720580685864436e-05
5-2B-rep1,8.043172533699102e-07,0.7701181377733995,0.22987464881153852,6.409097808665038e-06
5-2C-rep1,8.421444000398076e-07,0.3699010855374064,0.6294712890641749,0.000626783254018686
5-3A-rep1,0.9646898091924246,5.210001450003745e-07,6.734622614848099e-06,0.03530293518481545
5-3B-rep1,0.9999920454087614,2.4252645650315507e-06,1.3019612260918929e-06,4.2273654474311526e-06
5-3B-rep2,0.9999882049673886,3.5961715414155916e-06,1.930542332084626e-06,6.26831873784365e-06
5-3C-rep1,0.9999667720650633,2.120563574373371e-06,1.1383877829679354e-06,2.99689835793275e-05
5-3C-rep2,0.9999908006934383,2.8047641365870673e-06,1.5056889903151502e-06,4.888853434861442e-06
5-4B-rep1,0.0045789802902970675,0.1822088902930624,0.8074939223782737,0.0057182070383669
5-4C-rep1,9.812437096104256e-07,0.12599595030798633,0.7922980934298908,0.08170497501841333
5-4C-rep2,1.2232695712674175e-06,0.10122996795392787,0.8369574574840594,0.0618113512924415
5-5A-rep1,1.1789170837781337e-06,0.9894365190731647,0.010419363471297943,0.0001429385384535917
5-5A-rep2,0.020776660803473356,0.9656213647901944,0.01359355113144186,8.423274890486722e-06
5-5B-rep1,6.214360519505498e-07,0.9132667916992774,0.08672763503201755,4.951832653215494e-06
5-5B-rep2,1.300105156461318e-06,0.9183962717577697,0.08159206841760434,1.03597194693997e-05
5-5C-rep1,1.4198145734122225e-06,0.9999837821657773,3.4844112029907882e-06,1.1313608446220836e-05
5-6A-rep1,3.533824780186579e-07,0.88580982691753,0.051019353157268604,0.06317046654272349
5-6B-rep1,5.604786160929693e-07,0.9950414185863898,0.004953554833769577,4.466101224553747e-06
5-6B-rep2,1.287683723462467e-06,0.9941506803604854,0.005837771214900998,1.0260740890139007e-05
5-6C-rep1,1.1390628065151394e-06,0.9999869890532812,2.7954095402704037e-06,9.076474371998269e-06
5-6C-rep2,1.99358990444666e-06,0.9999772282161462,4.892531128574678e-06,1.5885662820774477e-05
5-7A-rep1,1.0662174087545256e-06,0.24131967920698505,0.7101179299281678,0.04856132464743849
5-7A-rep2,2.188025441534656e-06,0.17734919226818532,0.7061400328400433,0.11650858686632984
5-7B-rep1,5.434177194003475e-07,0.16845285148111822,0.8315422749474823,4.330153680038928e-06
5-7B-rep2,8.30771718347929e-07,0.17382042296677924,0.8261721263647176,6.619896784827307e-06
5-7C-rep1,6.996472195824354e-07,3.198438137119472e-06,0.9999905268664356,5.5750482077525516e-06
5-7C-rep2,8.735613514967586e-07,3.993486808120813e-06,0.9999881720914087,6.960860431819497e-06
5-8A-rep1,7.078944411714018e-07,0.8590208146152161,0.14097283672521854,5.640765124295072e-06
