,3_1,3_2,3_3
4-8C-rep2,0.13596895992635652,0.8640291535337197,1.886539923911503e-06
4-9A-rep1,0.01960711998885841,0.980391006456646,1.873554495748636e-06
4-9B-rep1,0.19936973537733277,0.8006278927453067,2.371877360549056e-06
4-9C-rep1,0.1832267017695065,0.8167728625218679,4.357086256647702e-07
5-10A-rep1,0.12112754702399577,0.8788712186107578,1.2343652465365777e-06
5-10B-rep1,0.15545679321742437,0.8445420991513757,1.1076312001133248e-06
5-10B-rep2,0.14435976005257334,0.8556382770105959,1.9629368308524055e-06
5-10C-rep1,0.21697037934156752,0.7830284381056735,1.1825527591382863e-06
5-11A-rep1,0.14156018649624982,0.8584380899754682,1.7235282820619209e-06
5-11B-rep1,0.17063626114068148,0.8293625371091241,1.2017501945398624e-06
5-11C-rep1,0.1563934097180824,0.8436050742513359,1.5160305817768665e-06
5-11C-rep2,0.0474332348205364,0.952565411949906,1.353229557770943e-06
5-12A-rep1,0.6113252538552574,0.3886739682566386,7.778881039516632e-07
5-12A-rep2,0.5692662875754821,0.43073241904486465,1.293379653292264e-06
5-12B-rep1,0.3421783819114792,0.6578201379507221,1.4801377987035292e-06
5-12B-rep2,0.2588605722250498,0.7411379604040668,1.4673708835204105e-06
5-12C-rep1,0.03433405584215913,0.9656644983707292,1.4457871118280947e-06
5-12C-rep2,0.03681293666449186,0.9631858880100657,1.1753254425737835e-06
5-1A-rep1,6.259880149522511e-06,0.9999930284135921,7.117062584194356e-07
5-1A-rep2,0.00036531402949259846,0.9996343092238189,3.7674668852940955e-07
5-1B-rep1,0.2736509295745861,0.7263483678478395,7.025775743371304e-07
5-1B-rep2,0.24419885425964097,0.7558005443488337,6.013915253516793e-07
5-1C-rep1,0.17385985694309436,0.8261391391858945,1.0038710110998347e-06
5-1C-rep2,0.12240667004080841,0.877592068756637,1.2612025547553419e-06
5-2A-rep1,4.521059142187235e-06,0.9999949649268497,5.140140081475037e-07
5-2A-rep2,1.7388668265115296e-05,0.999980634357139,1.9769745960401448e-06
5-2B-rep1,7.089158787474336e-06,0.9996276614893329,0.00036524935187955484
5-2C-rep1,7.42256282493316e-06,0.9999917335417187,8.438954564360672e-07
5-3A-rep1,0.09399773338026836,0.9060021524157813,1.1420395033021267e-07
5-3B-rep1,4.675925828846313e-06,0.9999947924528626,5.316213085243894e-07
5-3B-rep2,6.933441849759063e-06,0.999992278272458,7.882856922168311e-07
5-3C-rep1,0.00010917936681648515,0.9998903558027447,4.6483043883272414e-07
5-3C-rep2,5.407603408194106e-06,0.999993977588465,6.148081267906671e-07
5-4B-rep1,0.00013254277588528444,0.9998247119141753,4.2745309939417865e-05
5-4C-rep1,0.04313584924673065,0.9568631674692945,9.832839749175064e-07
5-4C-rep2,0.0168468662018105,0.9831519079851561,1.2258130335618407e-06
5-5A-rep1,0.00141260777094201,0.9985862108607243,1.1813683337787282e-06
5-5A-rep2,9.31705725469193e-06,0.9999896236560177,1.0592867275138248e-06
5-5B-rep1,5.4772652650410385e-06,0.9999939000065237,6.227282112502493e-07
5-5B-rep2,1.1458974997815415e-05,0.9999872382166376,1.3028083647318944e-06
5-5C-rep1,1.251407962084636e-05,0.995482748483844,0.004504737436535267
5-6A-rep1,0.10067905514428949,0.8993205907384277,3.5411728278598277e-07
5-6B-rep1,4.939993536863085e-06,0.9999944983624328,5.616440303581849e-07
5-6B-rep2,0.00030307999831107746,0.9996956296405821,1.2903611069036502e-06
5-6C-rep1,1.0039566746554069e-05,0.9999888190020576,1.1414311959131044e-06
5-6C-rep2,1.7571266973714354e-05,0.9999804309981857,1.997734840738946e-06
5-7A-rep1,9.397515995018028e-06,0.99998953404966,1.0684343449868201e-06
