,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8
2-9B-rep1,2.9204115756197767e-06,8.744362258799264e-07,0.2272294147584353,3.3332270947973273e-06,0.0054512112172483826,0.7673018896543535,5.15210589962947e-06,5.204189166808779e-06
2-9B-rep2,1.0831850354584194e-06,3.2432970826547367e-07,0.3277432403282841,1.2362989309487235e-06,0.009439504887630732,0.6628107698050307,1.91092380887832e-06,1.9302415708257737e-06
2-9C-rep1,2.1788985203087805e-06,6.524107131269049e-07,1.4223047064967213e-05,2.4868972734316434e-06,5.260856998873118e-06,0.9999674711305764,3.843949946950337e-06,3.882808905987904e-06
2-9C-rep2,6.281763263139015e-07,1.880899735347992e-07,4.1005037045023395e-06,7.169723502877778e-07,1.5167047900636342e-06,0.9999906219286933,1.1082105631370043e-06,1.1194135989393058e-06
3-10A-rep2,2.0847158261831545e-06,6.242103182640889e-07,0.13206769346531602,0.20256462181680862,0.4882482457942375,0.14657430851529848,0.0003209248471046848,0.03022149663509028
3-10B-rep1,0.011723437989612616,1.0136347990449659e-06,0.1622997506015767,3.863832348672696e-06,0.62645142940311,0.19950849965957174,5.972252376637483e-06,6.032626604623955e-06
3-10B-rep2,2.2553644152343857e-06,6.753063039831651e-07,0.18526552813092764,2.5741720243337865e-06,0.633839490639699,0.18088147846621289,3.978848874093183e-06,4.01907154284508e-06
3-10C-rep1,2.8501124741062634e-06,8.533871102267053e-07,0.15117116639427913,3.2529908459545517e-06,0.8030455281769091,0.0457662419363408,5.0280862516216175e-06,5.07891578904682e-06
3-10C-rep2,2.1410940556107707e-06,6.410912149753736e-07,0.15991335824258865,2.4437489490352874e-06,0.7836180348589995,0.05645578826664564,3.777256400318433e-06,3.81544114615541e-06
3-11A-rep2,0.11802873313617998,8.169784127887685e-07,0.07652191400605911,3.114206045880323e-06,0.1406620287470165,8.076328494681552e-06,0.1694141711243374,0.4953611454734537
3-11B-rep2,0.0522382694987023,7.354444807775053e-07,1.603324601098961e-05,2.803410240214989e-06,0.16091839997087126,7.270315988012972e-06,0.01906713444910696,0.7677493536645994
3-12A-rep2,2.932376085195415e-07,8.7801866634317e-08,0.022336324023000946,3.3468828506594153e-07,0.9634370900685068,0.014224830308399038,5.173213342458907e-07,5.225509987353227e-07
3-12B-rep2,2.611670245936986e-06,7.819922000601496e-07,0.33058586378820165,2.980843556129825e-06,0.47703091787755286,0.03299506044582347,4.607433347514764e-06,0.15937717594907239
3-12C-rep2,6.801769374425813e-07,2.0366011389392395e-07,0.35959016910595787,7.763235209950609e-07,0.30915324748913936,2.013304091422623e-06,1.1999485419948482e-06,0.33125170999169695
3-1A-rep1,3.1621259050875722e-06,0.5456871126748257,0.17072801980022606,3.609109014629753e-06,7.634817337312462e-06,0.028520740160651006,0.2550440863866356,5.634925404598067e-06
3-1A-rep2,1.6866198875030579e-06,5.05011533728497e-07,0.29068499070317516,1.9250324695950166e-06,6.823871309679072e-05,0.07790305261517365,0.6313365957389343,3.0055657292773454e-06
3-1B-rep1,2.3430179781778206e-06,0.6962631910817743,0.13889340966862046,2.674215878904722e-06,5.657116388897049e-06,0.014982239098739409,0.12729421606687766,0.022556269733742213
3-1B-rep2,1.5183619342679584e-06,4.546313575815931e-07,0.38998256622935984,1.7329903706934766e-06,3.6660197500084208e-06,0.15585491987097255,0.3966760931590698,0.05747904873718528
3-1C-rep1,2.608818927626794e-06,0.7505364722076786,0.12060693481103917,2.977589188996519e-06,6.298881378033664e-06,7.722028683477956e-06,0.12883233673371533,4.648929388810466e-06
3-1C-rep2,2.212461032737177e-06,6.624600763549994e-07,0.48088766491041296,2.525204023319135e-06,5.341892245243231e-06,0.012716483468008653,0.5063811669867168,3.942617484014676e-06
3-2A-rep1,3.590136493165824e-06,0.47162766075030343,0.08019858882611146,4.097621147971711e-06,0.3395579564604438,1.0626700337170122e-05,6.333615289478255e-06,0.10859114588987354
3-2A-rep2,1.4330173140528784e-06,4.290772787582367e-07,0.08167774360901216,1.6355818400360398e-06,0.7760712323924402,0.0003858696777136087,2.528087828317884e-06,0.14185912855657276
3-2B-rep2,2.0499230616570174e-06,6.137925901759828e-07,0.2356933982952246,2.339690456101201e-06,0.6593162879710872,6.067713061035773e-06,3.6164151614514318e-06,0.1049756261993577
3-2C-rep2,2.360270076061316e-06,7.067173937394002e-07,0.16730360190275848,2.6939066514613804e-06,0.5761307973560821,0.02613734850213149,0.19907980973766745,0.031342681607239235
3-3A-rep2,9.74659563209847e-07,2.918347664027882e-07,0.4336238387442158,0.5490496822048155,2.353273700835087e-06,0.01731940296804408,1.7194662997725072e-06,1.7368485943995083e-06
